anio,trimestre,provincia_id,accesos
2014,4,PR24,120037
2015,1,PR01,2502399
2015,1,PR02,690175
2015,1,PR03,28098
2015,1,PR04,91617
2015,1,PR05,68561
2015,1,PR06,974705
2015,1,PR07,90410
2015,1,PR08,151985
2015,1,PR09,46316
2015,1,PR10,80056
2015,1,PR11,81292
2015,1,PR12,25553
2015,1,PR13,115783
2015,1,PR14,114278
2015,1,PR15,111183
2015,1,PR16,57497
2015,1,PR17,168225
2015,1,PR18,43939
2015,1,PR19,55603
2015,1,PR20,54518
2015,1,PR21,604333
2015,1,PR22,98247
2015,1,PR23,35399
2015,1,PR24,119332
2015,2,PR01,2522599
2015,2,PR02,693278
2015,2,PR03,28518
2015,2,PR04,91438
2015,2,PR05,68762
2015,2,PR06,979028
2015,2,PR07,91645
2015,2,PR08,153882
2015,2,PR09,46356
2015,2,PR10,83523
2015,2,PR11,82878
2015,2,PR12,25403
2015,2,PR13,116704
2015,2,PR14,116298
2015,2,PR15,111237
2015,2,PR16,58204
2015,2,PR17,169164
2015,2,PR18,43565
2015,2,PR19,55558
2015,2,PR20,54155
2015,2,PR21,611604
2015,2,PR22,98712
2015,2,PR23,36057
2015,2,PR24,121485
2015,3,PR01,2505777
2015,3,PR02,715814
2015,3,PR03,29089
2015,3,PR04,92709
2015,3,PR05,68820
2015,3,PR06,986247
2015,3,PR07,92364
2015,3,PR08,153615
2015,3,PR09,46414
2015,3,PR10,85777
2015,3,PR11,86107
2015,3,PR12,25779
2015,3,PR13,117481
2015,3,PR14,118527
2015,3,PR15,111307
2015,3,PR16,57112
2015,3,PR17,170310
2015,3,PR18,43576
2015,3,PR19,54728
2015,3,PR20,54965
2015,3,PR21,613455
2015,3,PR22,99599
2015,3,PR23,37053
2015,3,PR24,122680
2015,4,PR01,2504956
2015,4,PR02,716866
2015,4,PR03,29356
2015,4,PR04,90819
2015,4,PR05,68847
2015,4,PR06,994334
2015,4,PR07,94401
2015,4,PR08,154461
2015,4,PR09,46385
2015,4,PR10,86586
2015,4,PR11,87160
2015,4,PR12,25151
2015,4,PR13,116883
2015,4,PR14,119199
2015,4,PR15,111106
2015,4,PR16,56550
2015,4,PR17,172954
2015,4,PR18,44239
2015,4,PR19,54524
2015,4,PR20,55004
2015,4,PR21,613513
2015,4,PR22,99921
2015,4,PR23,37687
2015,4,PR24,125200
2016,1,PR01,2503121
2016,1,PR02,720018
