anio,trimestre,provincia_id,accesos100hab,accesos100hog
2017,4,PR15,16.1,54.08
2017,4,PR16,20.42,66.39
2017,4,PR17,10.25,42.32
2017,4,PR18,15.19,59.65
2017,4,PR19,11.08,38.72
2017,4,PR20,14.17,47.62
2017,4,PR21,21.61,68.73
2017,4,PR22,6.84,27.57
2017,4,PR23,24.61,83.01
2017,4,PR24,13.04,52.65
2018,1,PR01,25.89,79.97
2018,1,PR02,56.48,134.65
2018,1,PR03,9.43,37.07
2018,1,PR04,8.42,31.5
2018,1,PR05,19.16,62.5
2018,1,PR06,18.85,61.55
2018,1,PR07,9.07,34.44
2018,1,PR08,15.9,53.19
2018,1,PR09,6.76,26.56
2018,1,PR10,7.23,28.27
2018,1,PR11,21.42,65.02
2018,1,PR12,9.43,35.43
2018,1,PR13,18.56,66.49
2018,1,PR14,8.42,30.9
2018,1,PR15,15.1,50.72
2018,1,PR16,19.28,62.69
2018,1,PR17,9.7,40.03
2018,1,PR18,15.12,59.37
2018,1,PR19,8.98,31.38
2018,1,PR20,12.83,43.11
2018,1,PR21,19.84,63.11
2018,1,PR22,5.98,24.11
2018,1,PR23,20.41,68.83
2018,1,PR24,13.03,52.62
2018,2,PR01,26.06,80.31
2018,2,PR02,56.81,135.61
2018,2,PR03,9.36,36.78
2018,2,PR04,8.31,31.08
2018,2,PR05,19.58,63.88
2018,2,PR06,18.58,60.68
2018,2,PR07,9.0,34.17
2018,2,PR08,15.72,52.57
2018,2,PR09,6.68,26.25
2018,2,PR10,7.12,27.85
2018,2,PR11,21.5,65.25
2018,2,PR12,9.19,34.51
2018,2,PR13,18.51,66.32
2018,2,PR14,8.77,32.21
2018,2,PR15,15.04,50.51
2018,2,PR16,19.21,62.45
2018,2,PR17,9.51,39.27
2018,2,PR18,15.08,59.21
2018,2,PR19,8.95,31.28
2018,2,PR20,12.76,42.88
2018,2,PR21,19.7,62.64
2018,2,PR22,5.77,23.23
2018,2,PR23,20.28,68.38
2018,2,PR24,12.97,52.34
2018,3,PR01,26.08,80.19
2018,3,PR02,57.86,138.28
2018,3,PR03,9.27,36.43
2018,3,PR04,7.75,28.99
2018,3,PR05,19.49,63.59
2018,3,PR06,18.28,59.71
2018,3,PR07,8.6,32.65
2018,3,PR08,14.69,49.14
2018,3,PR09,6.61,25.98
2018,3,PR10,7.02,27.47
2018,3,PR11,21.45,65.11
2018,3,PR12,9.0,33.79
2018,3,PR13,18.46,66.15
2018,3,PR14,8.41,30.87
2018,3,PR15,14.98,50.34
2018,3,PR16,19.14,62.22
2018,3,PR17,9.31,38.45
2018,3,PR18,15.04,59.04
