anio,trimestre,provincia_id,tv_sus_100hab,tv_sus_100hog
2016,3,PR09,7.93,31.19
2016,3,PR10,11.48,44.93
2016,3,PR11,26.25,79.73
2016,3,PR12,6.6,24.81
2016,3,PR13,6.1,21.88
2016,3,PR14,10.17,37.38
2016,3,PR15,17.64,59.31
2016,3,PR16,7.69,25.03
2016,3,PR17,12.76,52.73
2016,3,PR18,5.67,22.27
2016,3,PR19,11.2,39.18
2016,3,PR20,15.54,52.32
2016,3,PR21,17.94,57.1
2016,3,PR22,10.56,42.59
2016,3,PR23,24.66,83.34
2016,3,PR24,7.77,31.4
2016,4,PR01,15.06,49.41
2016,4,PR02,23.29,61.33
2016,4,PR03,7.52,29.58
2016,4,PR04,7.65,28.63
2016,4,PR05,12.59,41.14
2016,4,PR06,27.98,91.48
2016,4,PR07,8.65,32.88
2016,4,PR08,11.68,39.11
2016,4,PR09,7.92,31.13
2016,4,PR10,11.1,43.44
2016,4,PR11,29.05,88.24
2016,4,PR12,6.9,25.94
2016,4,PR13,6.13,22.0
2016,4,PR14,10.23,37.6
2016,4,PR15,17.62,59.26
2016,4,PR16,7.62,24.8
2016,4,PR17,12.79,52.87
2016,4,PR18,5.33,20.95
2016,4,PR19,11.25,39.37
2016,4,PR20,15.45,52.04
2016,4,PR21,18.01,57.33
2016,4,PR22,10.45,42.14
2016,4,PR23,24.73,83.59
2016,4,PR24,7.7,31.11
2017,1,PR01,15.23,47.43
2017,1,PR02,23.29,55.24
2017,1,PR03,7.36,28.91
2017,1,PR04,7.57,28.32
2017,1,PR05,12.46,40.65
2017,1,PR06,28.16,91.97
2017,1,PR07,8.58,32.59
2017,1,PR08,11.95,39.98
2017,1,PR09,8.28,32.53
2017,1,PR10,11.33,44.31
2017,1,PR11,29.34,89.04
2017,1,PR12,6.49,24.37
2017,1,PR13,6.07,21.76
2017,1,PR14,10.16,37.3
2017,1,PR15,17.45,58.61
2017,1,PR16,7.34,23.85
2017,1,PR17,12.52,51.67
2017,1,PR18,5.76,22.6
2017,1,PR19,11.72,40.96
2017,1,PR20,15.0,50.4
2017,1,PR21,17.5,55.65
2017,1,PR22,10.33,41.61
2017,1,PR23,24.31,81.97
2017,1,PR24,7.69,31.05
2017,2,PR01,15.17,47.17
2017,2,PR02,23.14,54.96
2017,2,PR03,10.01,39.35
2017,2,PR04,7.84,29.32
2017,2,PR05,12.38,40.37
2017,2,PR06,28.0,91.43
2017,2,PR07,8.53,32.41
2017,2,PR08,12.07,40.36
2017,2,PR09,8.12,31.92
2017,2,PR10,11.36,44.42
2017,2,PR11,28.45,86.33
2017,2,PR12,6.39,23.99
2017,2,PR13,5.88,21.06
2017,2,PR14,10.1,37.09
2017,2,PR15,17.37,58.35
2017,2,PR16,8.11,26.38
2017,2,PR17,18.73,77.34
2017,2,PR18,5.38,21.11
2017,2,PR19,11.23,39.25
2017,2,PR20,14.84,49.88
2017,2,PR21,17.93,57.03
2017,2,PR22,10.26,41.35
2017,2,PR23,24.25,81.79
2017,2,PR24,10.98,44.32
2017,3,PR01,15.11,46.79
2017,3,PR02,23.1,54.92
2017,3,PR03,10.08,39.57
2017,3,PR04,7.73,28.87
2017,3,PR05,11.93,38.81
2017,3,PR06,28.1,91.61
2017,3,PR07,8.59,32.58
2017,3,PR08,12.27,40.98
2017,3,PR09,8.37,32.84
2017,3,PR10,11.36,44.34
2017,3,PR11,28.54,86.5
2017,3,PR12,6.34,23.76
2017,3,PR13,5.9,21.09
2017,3,PR14,10.27,37.61
2017,3,PR15,17.24,57.79
2017,3,PR16,8.06,26.13
2017,3,PR17,18.6,76.63
2017,3,PR18,5.23,20.49
2017,3,PR19,12.8,44.62
2017,3,PR20,14.16,47.36
2017,3,PR21,17.83,56.64
2017,3,PR22,10.33,41.54
2017,3,PR23,24.84,83.42
2017,3,PR24,10.99,44.27
2017,4,PR01,15.54,48.1
2017,4,PR02,24.15,57.5
2017,4,PR03,7.24,28.46
2017,4,PR04,8.64,32.34
2017,4,PR05,12.0,39.13
2017,4,PR06,28.42,92.84
2017,4,PR07,9.66,36.7
2017,4,PR08,15.49,51.81
2017,4,PR09,8.29,32.57
2017,4,PR10,11.62,45.43
2017,4,PR11,23.98,72.78
2017,4,PR12,6.24,23.42
2017,4,PR13,5.88,21.08
2017,4,PR14,10.9,40.01
2017,4,PR15,12.03,40.41
2017,4,PR16,12.57,40.87
2017,4,PR17,12.81,52.87
2017,4,PR18,5.2,20.41
2017,4,PR19,12.74,44.52
2017,4,PR20,14.67,49.29
2017,4,PR21,18.15,57.72
2017,4,PR22,10.11,40.76
2017,4,PR23,24.67,83.2
2017,4,PR24,7.15,28.85
2018,1,PR01,15.49,47.83
2018,1,PR02,24.18,57.64
2018,1,PR03,21.87,85.99
2018,1,PR04,9.33,34.9
2018,1,PR05,12.24,39.93
2018,1,PR06,30.09,98.26
2018,1,PR07,9.64,36.62
2018,1,PR08,15.51,51.87
2018,1,PR09,8.85,34.77
2018,1,PR10,11.81,46.16
2018,1,PR11,23.86,72.41
2018,1,PR12,6.23,23.39
2018,1,PR13,4.55,16.3
2018,1,PR14,10.94,40.15
2018,1,PR15,11.97,40.2
2018,1,PR16,12.41,40.36
2018,1,PR17,12.69,52.4
2018,1,PR18,4.92,19.3
2018,1,PR19,12.56,43.87
2018,1,PR20,15.43,51.84
2018,1,PR21,17.96,57.1
2018,1,PR22,10.09,40.67
2018,1,PR23,24.64,83.12
2018,1,PR24,7.14,28.81
2018,2,PR01,15.5,47.76
2018,2,PR02,24.21,57.79
2018,2,PR03,19.25,75.66
2018,2,PR04,9.2,34.41
2018,2,PR05,12.51,40.8
2018,2,PR06,30.28,98.89
2018,2,PR07,9.12,34.64
2018,2,PR08,15.54,51.97
2018,2,PR09,8.75,34.39
2018,2,PR10,11.94,46.68
2018,2,PR11,23.44,71.15
2018,2,PR12,5.97,22.44
2018,2,PR13,4.58,16.4
2018,2,PR14,10.95,40.22
2018,2,PR15,12.19,40.96
2018,2,PR16,12.05,39.17
2018,2,PR17,12.19,50.31
2018,2,PR18,6.27,24.63
2018,2,PR19,11.56,40.4
2018,2,PR20,15.38,51.68
2018,2,PR21,17.69,56.25
2018,2,PR22,10.07,40.56
2018,2,PR23,24.97,84.2
2018,2,PR24,7.2,29.07
2018,3,PR01,15.66,48.16
2018,3,PR02,24.62,58.84
2018,3,PR03,20.35,80.0
2018,3,PR04,8.39,31.38
