anio,trimestre,provincia_id,tecnologia_id,accesos
2016,3,PR12,TEC1,16891
2016,3,PR13,TEC1,153233
2016,3,PR14,TEC1,59776
2016,3,PR15,TEC1,51752
2016,3,PR16,TEC1,67043
2016,3,PR17,TEC1,80866
2016,3,PR18,TEC1,48670
2016,3,PR19,TEC1,11432
2016,3,PR20,TEC1,15570
2016,3,PR21,TEC1,334911
2016,3,PR22,TEC1,31730
2016,3,PR23,TEC1,22636
2016,3,PR24,TEC1,147259
2016,4,PR01,TEC1,1563542
2016,4,PR02,TEC1,434835
2016,4,PR03,TEC1,26735
2016,4,PR04,TEC1,54974
2016,4,PR05,TEC1,43994
2016,4,PR06,TEC1,337368
2016,4,PR07,TEC1,54981
2016,4,PR08,TEC1,109359
2016,4,PR09,TEC1,22400
2016,4,PR10,TEC1,33838
2016,4,PR11,TEC1,12754
2016,4,PR12,TEC1,16270
2016,4,PR13,TEC1,153320
2016,4,PR14,TEC1,57983
2016,4,PR15,TEC1,51742
2016,4,PR16,TEC1,67057
2016,4,PR17,TEC1,79389
2016,4,PR18,TEC1,48670
2016,4,PR19,TEC1,11432
2016,4,PR20,TEC1,15607
2016,4,PR21,TEC1,326721
2016,4,PR22,TEC1,30192
2016,4,PR23,TEC1,22636
2016,4,PR24,TEC1,146995
2017,1,PR01,TEC1,1559178
2017,1,PR02,TEC1,428801
2017,1,PR03,TEC1,26020
2017,1,PR04,TEC1,54430
2017,1,PR05,TEC1,43994
2017,1,PR06,TEC1,335673
2017,1,PR07,TEC1,54993
2017,1,PR08,TEC1,108509
2017,1,PR09,TEC1,22438
2017,1,PR10,TEC1,33869
2017,1,PR11,TEC1,12754
2017,1,PR12,TEC1,16180
2017,1,PR13,TEC1,153326
2017,1,PR14,TEC1,57363
2017,1,PR15,TEC1,51771
2017,1,PR16,TEC1,67075
2017,1,PR17,TEC1,79837
2017,1,PR18,TEC1,48670
2017,1,PR19,TEC1,11432
2017,1,PR20,TEC1,15502
2017,1,PR21,TEC1,327458
2017,1,PR22,TEC1,29616
2017,1,PR23,TEC1,22636
2017,1,PR24,TEC1,147373
2017,2,PR01,TEC1,1378549
2017,2,PR02,TEC1,615262
2017,2,PR03,TEC1,26401
2017,2,PR04,TEC1,54449
2017,2,PR05,TEC1,43994
2017,2,PR06,TEC1,341748
2017,2,PR07,TEC1,55262
2017,2,PR08,TEC1,108309
2017,2,PR09,TEC1,22493
2017,2,PR10,TEC1,33742
2017,2,PR11,TEC1,12754
2017,2,PR12,TEC1,16244
2017,2,PR13,TEC1,153331
2017,2,PR14,TEC1,56752
2017,2,PR15,TEC1,51794
2017,2,PR16,TEC1,67038
2017,2,PR17,TEC1,80184
2017,2,PR18,TEC1,48670
2017,2,PR19,TEC1,11432
2017,2,PR20,TEC1,15311
2017,2,PR21,TEC1,329813
2017,2,PR22,TEC1,28337
2017,2,PR23,TEC1,22636
2017,2,PR24,TEC1,149013
2017,3,PR01,TEC1,1288025
2017,3,PR02,TEC1,583249
2017,3,PR03,TEC1,26873
2017,3,PR04,TEC1,54888
2017,3,PR05,TEC1,56359
2017,3,PR06,TEC1,344580
2017,3,PR07,TEC1,56247
2017,3,PR08,TEC1,107774
2017,3,PR09,TEC1,22647
2017,3,PR10,TEC1,33796
2017,3,PR11,TEC1,11378
2017,3,PR12,TEC1,16638
2017,3,PR13,TEC1,154036
2017,3,PR14,TEC1,56472
2017,3,PR15,TEC1,48001
2017,3,PR16,TEC1,69301
2017,3,PR17,TEC1,80782
2017,3,PR18,TEC1,54499
2017,3,PR19,TEC1,11407
2017,3,PR20,TEC1,19220
2017,3,PR21,TEC1,322953
2017,3,PR22,TEC1,27733
2017,3,PR23,TEC1,21587
2017,3,PR24,TEC1,154130
2017,4,PR01,TEC1,1241172
2017,4,PR02,TEC1,571363
2017,4,PR03,TEC1,27083
2017,4,PR04,TEC1,55035
2017,4,PR05,TEC1,56378
2017,4,PR06,TEC1,349710
2017,4,PR07,TEC1,56786
2017,4,PR08,TEC1,107764
2017,4,PR09,TEC1,23410
2017,4,PR10,TEC1,33844
2017,4,PR11,TEC1,10808
2017,4,PR12,TEC1,16912
2017,4,PR13,TEC1,152896
2017,4,PR14,TEC1,56271
2017,4,PR15,TEC1,46739
2017,4,PR16,TEC1,68690
2017,4,PR17,TEC1,80705
2017,4,PR18,TEC1,54079
2017,4,PR19,TEC1,11104
2017,4,PR20,TEC1,18614
2017,4,PR21,TEC1,341680
2017,4,PR22,TEC1,27313
2017,4,PR23,TEC1,19372
2017,4,PR24,TEC1,156583
2018,1,PR01,TEC1,1452061
2018,1,PR02,TEC1,349995
2018,1,PR03,TEC1,27300
2018,1,PR04,TEC1,54879
2018,1,PR05,TEC1,56375
2018,1,PR06,TEC1,349342
2018,1,PR07,TEC1,56937
2018,1,PR08,TEC1,106998
2018,1,PR09,TEC1,23556
2018,1,PR10,TEC1,33856
2018,1,PR11,TEC1,10807
2018,1,PR12,TEC1,16960
2018,1,PR13,TEC1,152931
2018,1,PR14,TEC1,56311
2018,1,PR15,TEC1,46714
2018,1,PR16,TEC1,68769
2018,1,PR17,TEC1,79936
2018,1,PR18,TEC1,54080
2018,1,PR19,TEC1,11104
2018,1,PR20,TEC1,18615
2018,1,PR21,TEC1,341997
2018,1,PR22,TEC1,26788
2018,1,PR23,TEC1,19372
2018,1,PR24,TEC1,158611
2018,2,PR01,TEC1,1450203
2018,2,PR02,TEC1,342431
2018,2,PR03,TEC1,27444
2018,2,PR04,TEC1,54134
2018,2,PR05,TEC1,58935
2018,2,PR06,TEC1,345141
2018,2,PR07,TEC1,56541
2018,2,PR08,TEC1,104811
2018,2,PR09,TEC1,23543
2018,2,PR10,TEC1,33571
2018,2,PR11,TEC1,12416
2018,2,PR12,TEC1,16663
2018,2,PR13,TEC1,152938
2018,2,PR14,TEC1,57265
2018,2,PR15,TEC1,46633
2018,2,PR16,TEC1,68667
2018,2,PR17,TEC1,78386
2018,2,PR18,TEC1,54080
2018,2,PR19,TEC1,11104
2018,2,PR20,TEC1,18615
2018,2,PR21,TEC1,337934
2018,2,PR22,TEC1,26074
2018,2,PR23,TEC1,19372
2018,2,PR24,TEC1,160315
2018,3,PR01,TEC1,1435856
2018,3,PR02,TEC1,334353
2018,3,PR03,TEC1,27553
2018,3,PR04,TEC1,53927
2018,3,PR05,TEC1,58887
2018,3,PR06,TEC1,337620
2018,3,PR07,TEC1,56444
2018,3,PR08,TEC1,103318
2018,3,PR09,TEC1,22777
2018,3,PR10,TEC1,33363
2018,3,PR11,TEC1,12415
2018,3,PR12,TEC1,16587
2018,3,PR13,TEC1,151033
2018,3,PR14,TEC1,56290
2018,3,PR15,TEC1,46602
2018,3,PR16,TEC1,68590
2018,3,PR17,TEC1,76600
2018,3,PR18,TEC1,54025
2018,3,PR19,TEC1,11096
2018,3,PR20,TEC1,18606
2018,3,PR21,TEC1,339126
2018,3,PR22,TEC1,25805
2018,3,PR23,TEC1,19365
2018,3,PR24,TEC1,161209
2018,4,PR01,TEC1,1305576
2018,4,PR02,TEC1,328253
2018,4,PR03,TEC1,26912
2018,4,PR04,TEC1,53409
2018,4,PR05,TEC1,37215
2018,4,PR06,TEC1,328854
2018,4,PR07,TEC1,55842
2018,4,PR08,TEC1,101168
2018,4,PR09,TEC1,22619
2018,4,PR10,TEC1,33248
2018,4,PR11,TEC1,18832
2018,4,PR12,TEC1,16367
2018,4,PR13,TEC1,148524
2018,4,PR14,TEC1,55500
2018,4,PR15,TEC1,40747
2018,4,PR16,TEC1,68377
2018,4,PR17,TEC1,74295
2018,4,PR18,TEC1,51660
2018,4,PR19,TEC1,11108
2018,4,PR20,TEC1,10659
2018,4,PR21,TEC1,335519
2018,4,PR22,TEC1,25339
2018,4,PR23,TEC1,19789
2018,4,PR24,TEC1,159215
2019,1,PR01,TEC1,1304507
2019,1,PR02,TEC1,328246
2019,1,PR03,TEC1,26912
2019,1,PR04,TEC1,53409
2019,1,PR05,TEC1,37302
2019,1,PR06,TEC1,323272
2019,1,PR07,TEC1,55842
2019,1,PR08,TEC1,100999
2019,1,PR09,TEC1,22570
2019,1,PR10,TEC1,33248
2019,1,PR11,TEC1,18832
2019,1,PR12,TEC1,16367
2019,1,PR13,TEC1,148524
2019,1,PR14,TEC1,54898
2019,1,PR15,TEC1,40747
2019,1,PR16,TEC1,68377
2019,1,PR17,TEC1,74426
2019,1,PR18,TEC1,51660
2019,1,PR19,TEC1,11108
2019,1,PR20,TEC1,10659
2019,1,PR21,TEC1,340038
2019,1,PR22,TEC1,25337
2019,1,PR23,TEC1,19789
2019,1,PR24,TEC1,159215
2019,2,PR01,TEC1,1284658
2019,2,PR02,TEC1,309937
2019,2,PR03,TEC1,25682
2019,2,PR04,TEC1,50765
2019,2,PR05,TEC1,37313
2019,2,PR06,TEC1,314768
