anio,trimestre,provincia_id,Accesos_cada_100_hogares,Accesos_cada_100_habitantes
2016,4,PR12,16.46,4.35
2016,4,PR13,32.11,8.91
2016,4,PR14,29.72,8.05
2016,4,PR15,60.87,17.99
2016,4,PR16,46.39,14.17
2016,4,PR17,32.69,7.87
2016,4,PR18,27.29,6.91
2016,4,PR19,9.64,2.74
2016,4,PR20,27.05,7.94
2016,4,PR21,52.19,16.35
2016,4,PR22,15.07,3.72
2016,4,PR23,70.31,20.57
2016,4,PR24,37.98,9.35
2017,1,PR01,58.57,18.8
2017,1,PR02,108.37,45.69
2017,1,PR03,25.66,6.53
2017,1,PR04,28.62,7.65
2017,1,PR05,35.66,10.93
2017,1,PR06,57.65,17.65
2017,1,PR07,30.94,8.15
2017,1,PR08,44.91,13.43
2017,1,PR09,19.84,5.05
2017,1,PR10,22.76,5.82
2017,1,PR11,62.67,20.65
2017,1,PR12,16.2,4.31
2017,1,PR13,31.84,8.89
2017,1,PR14,29.52,8.04
2017,1,PR15,61.02,18.17
2017,1,PR16,46.03,14.16
2017,1,PR17,32.58,7.89
2017,1,PR18,27.04,6.89
2017,1,PR19,9.55,2.73
2017,1,PR20,26.52,7.89
2017,1,PR21,51.97,16.34
2017,1,PR22,14.7,3.65
2017,1,PR23,68.92,20.44
2017,1,PR24,37.9,9.39
2017,2,PR01,56.27,18.1
2017,2,PR02,124.06,52.24
2017,2,PR03,25.98,6.61
2017,2,PR04,29.05,7.76
2017,2,PR05,35.55,10.9
2017,2,PR06,58.97,18.06
2017,2,PR07,31.39,8.27
2017,2,PR08,45.39,13.57
2017,2,PR09,19.97,5.08
2017,2,PR10,22.4,5.73
2017,2,PR11,63.49,20.92
2017,2,PR12,16.2,4.31
2017,2,PR13,31.76,8.86
2017,2,PR14,30.09,8.2
2017,2,PR15,61.91,18.43
2017,2,PR16,46.02,14.16
2017,2,PR17,32.74,7.93
2017,2,PR18,26.96,6.87
2017,2,PR19,9.51,2.72
2017,2,PR20,26.25,7.81
2017,2,PR21,52.27,16.44
2017,2,PR22,14.12,3.5
2017,2,PR23,68.46,20.3
2017,2,PR24,38.19,9.46
2017,3,PR01,55.63,17.94
2017,3,PR02,121.86,51.24
2017,3,PR03,32.49,8.27
2017,3,PR04,29.98,8.01
2017,3,PR05,46.22,14.17
2017,3,PR06,62.31,19.08
2017,3,PR07,32.17,8.47
2017,3,PR08,45.96,13.74
2017,3,PR09,21.35,5.43
2017,3,PR10,22.65,5.79
2017,3,PR11,69.14,22.78
2017,3,PR12,51.47,13.7
2017,3,PR13,35.7,9.96
2017,3,PR14,30.21,8.23
2017,3,PR15,60.83,18.11
2017,3,PR16,48.52,14.92
2017,3,PR17,39.84,9.65
2017,3,PR18,32.37,8.25
2017,3,PR19,15.48,4.43
2017,3,PR20,33.29,9.91
2017,3,PR21,60.91,19.15
2017,3,PR22,35.12,8.72
2017,3,PR23,65.74,19.49
2017,3,PR24,39.7,9.83
2017,4,PR01,57.61,18.61
2017,4,PR02,122.9,51.62
2017,4,PR03,28.62,7.28
2017,4,PR04,30.81,8.23
2017,4,PR05,51.46,15.78
2017,4,PR06,63.33,19.39
2017,4,PR07,32.52,8.56
2017,4,PR08,47.89,14.32
2017,4,PR09,21.27,5.41
2017,4,PR10,22.74,5.82
2017,4,PR11,71.05,23.41
2017,4,PR12,51.57,13.73
2017,4,PR13,33.33,9.3
2017,4,PR14,31.14,8.48
2017,4,PR15,61.24,18.23
2017,4,PR16,49.38,15.19
2017,4,PR17,39.8,9.64
2017,4,PR18,30.3,7.72
2017,4,PR19,10.59,3.03
2017,4,PR20,28.91,8.6
2017,4,PR21,61.71,19.41
2017,4,PR22,29.13,7.23
2017,4,PR23,59.89,17.76
2017,4,PR24,39.9,9.88
2018,1,PR01,62.63,20.28
2018,1,PR02,106.24,44.56
2018,1,PR03,32.79,8.34
2018,1,PR04,30.83,8.24
2018,1,PR05,53.72,16.47
2018,1,PR06,63.52,19.45
2018,1,PR07,32.66,8.6
2018,1,PR08,48.68,14.56
2018,1,PR09,21.4,5.45
2018,1,PR10,23.12,5.91
2018,1,PR11,71.75,23.64
2018,1,PR12,51.44,13.69
2018,1,PR13,37.07,10.35
2018,1,PR14,30.96,8.43
2018,1,PR15,61.52,18.31
2018,1,PR16,49.82,15.32
2018,1,PR17,39.78,9.63
2018,1,PR18,32.61,8.31
2018,1,PR19,15.15,4.34
2018,1,PR20,33.55,9.98
2018,1,PR21,62.28,19.58
2018,1,PR22,34.99,8.68
2018,1,PR23,65.2,19.33
2018,1,PR24,41.18,10.2
2018,2,PR01,62.78,20.37
2018,2,PR02,106.53,44.63
2018,2,PR03,32.86,8.36
2018,2,PR04,31.25,8.35
2018,2,PR05,54.9,16.83
2018,2,PR06,63.27,19.37
2018,2,PR07,33.81,8.9
2018,2,PR08,49.2,14.71
2018,2,PR09,29.43,7.49
2018,2,PR10,23.43,5.99
2018,2,PR11,71.04,23.41
2018,2,PR12,50.98,13.57
2018,2,PR13,36.97,10.32
2018,2,PR14,31.63,8.62
2018,2,PR15,60.24,17.93
2018,2,PR16,50.15,15.43
2018,2,PR17,39.94,9.67
2018,2,PR18,32.95,8.39
2018,2,PR19,15.15,4.34
2018,2,PR20,33.33,9.92
2018,2,PR21,62.57,19.68
2018,2,PR22,35.26,8.75
2018,2,PR23,91.61,27.16
2018,2,PR24,41.51,10.28
